"Time","C2H013"
"and",140.00
"Date","Discharge (Cumecs)"
"","Mean"
00:00:00 01/01/1946,       0.245
00:00:00 01/02/1946,       0.246
00:00:00 01/03/1946,       0.246
00:00:00 01/04/1946,       0.247
00:00:00 01/05/1946,       0.249
00:00:00 01/06/1946,       0.252
00:00:00 01/07/1946,       0.252
00:00:00 01/08/1946,       0.252
00:00:00 01/09/1946,       0.234
00:00:00 01/10/1946,       0.231
00:00:00 01/11/1946,       0.246
00:00:00 01/12/1946,       0.246
00:00:00 01/01/1947,       0.246
00:00:00 01/02/1947,       0.248
00:00:00 01/03/1947,       0.251
00:00:00 01/04/1947,       0.248
00:00:00 01/05/1947,       0.259
00:00:00 01/06/1947,       0.265
00:00:00 01/07/1947,       0.266
00:00:00 01/08/1947,       0.272
00:00:00 01/09/1947,       0.253
00:00:00 01/10/1947,       0.233
00:00:00 01/11/1947,       0.234
00:00:00 01/12/1947,""
00:00:00 01/01/1948,""
00:00:00 01/02/1948,""
00:00:00 01/03/1948,""
00:00:00 01/04/1948,""
00:00:00 01/05/1948,""
00:00:00 01/06/1948,""
00:00:00 01/07/1948,""
00:00:00 01/08/1948,       0.225
00:00:00 01/09/1948,       0.225
00:00:00 01/10/1948,       0.225
00:00:00 01/11/1948,       0.239
00:00:00 01/12/1948,       0.253
00:00:00 01/01/1949,       0.244
00:00:00 01/02/1949,       0.241
00:00:00 01/03/1949,       0.240
00:00:00 01/04/1949,       0.237
00:00:00 01/05/1949,       0.246
00:00:00 01/06/1949,       0.225
00:00:00 01/07/1949,       0.228
00:00:00 01/08/1949,       0.229
00:00:00 01/09/1949,       0.230
00:00:00 01/10/1949,       0.256
00:00:00 01/11/1949,       0.255
00:00:00 01/12/1949,       0.247
00:00:00 01/01/1950,       0.250
00:00:00 01/02/1950,       0.254
00:00:00 01/03/1950,       0.254
00:00:00 01/04/1950,       0.254
00:00:00 01/05/1950,       0.252
00:00:00 01/06/1950,       0.256
00:00:00 01/07/1950,       0.264
00:00:00 01/08/1950,       0.267
00:00:00 01/09/1950,       0.255
00:00:00 01/10/1950,       0.252
00:00:00 01/11/1950,       0.252
00:00:00 01/12/1950,       0.181
00:00:00 01/01/1951,       0.173
00:00:00 01/02/1951,       0.173
00:00:00 01/03/1951,       0.180
00:00:00 01/04/1951,       0.183
00:00:00 01/05/1951,       0.183
00:00:00 01/06/1951,       0.195
00:00:00 01/07/1951,       0.204
00:00:00 01/08/1951,       0.201
00:00:00 01/09/1951,       0.194
00:00:00 01/10/1951,       0.187
00:00:00 01/11/1951,       0.182
00:00:00 01/12/1951,       0.175
00:00:00 01/01/1952,       0.173
00:00:00 01/02/1952,       0.166
00:00:00 01/03/1952,       0.158
00:00:00 01/04/1952,       0.150
00:00:00 01/05/1952,       0.149
00:00:00 01/06/1952,       0.144
00:00:00 01/07/1952,       0.140
00:00:00 01/08/1952,       0.138
00:00:00 01/09/1952,       0.132
00:00:00 01/10/1952,       0.131
00:00:00 01/11/1952,       0.127
00:00:00 01/12/1952,       0.142
00:00:00 01/01/1953,       0.155
00:00:00 01/02/1953,""
00:00:00 01/03/1953,""
00:00:00 01/04/1953,""
00:00:00 01/05/1953,""
00:00:00 01/06/1953,""
00:00:00 01/07/1953,""
00:00:00 01/08/1953,""
00:00:00 01/09/1953,""
00:00:00 01/10/1953,""
00:00:00 01/11/1953,       0.154
00:00:00 01/12/1953,       0.154
00:00:00 01/01/1954,""
00:00:00 01/02/1954,""
00:00:00 01/03/1954,""
00:00:00 01/04/1954,""
00:00:00 01/05/1954,""
00:00:00 01/06/1954,""
