"Time,""A2H023"""
and,140.00
"Date,""Discharge (Cumecs)"""
",""Mean"""
00:00:00 01/06/1997,      10.558
00:00:00 01/07/1997,       5.415
00:00:00 01/08/1997,       4.489
00:00:00 01/09/1997,       4.125
00:00:00 01/10/1997,       5.053
"00:00:00 01/11/1997,"""""
00:00:00 01/12/1997,       7.014
00:00:00 01/01/1998,       5.967
00:00:00 01/02/1998,      12.856
00:00:00 01/03/1998,       6.746
00:00:00 01/04/1998,       4.442
00:00:00 01/05/1998,       3.201
00:00:00 01/06/1998,       2.745
00:00:00 01/07/1998,       2.857
00:00:00 01/08/1998,       2.859
00:00:00 01/09/1998,       2.708
00:00:00 01/10/1998,       3.176
00:00:00 01/11/1998,       4.411
00:00:00 01/12/1998,      10.239
00:00:00 01/01/1999,       8.854
00:00:00 01/02/1999,       6.826
00:00:00 01/03/1999,       4.387
00:00:00 01/04/1999,       4.286
00:00:00 01/05/1999,       3.875
00:00:00 01/06/1999,       4.450
00:00:00 01/07/1999,       3.051
00:00:00 01/08/1999,       2.988
00:00:00 01/09/1999,       2.820
00:00:00 01/10/1999,       2.893
00:00:00 01/11/1999,       2.753
00:00:00 01/12/1999,       4.610
00:00:00 01/01/2000,       7.630
00:00:00 01/02/2000,      13.227
00:00:00 01/03/2000,      48.152
"00:00:00 01/04/2000,"""""
"00:00:00 01/05/2000,"""""
00:00:00 01/06/2000,       5.034
00:00:00 01/07/2000,       3.912
00:00:00 01/08/2000,       3.865
00:00:00 01/09/2000,       3.627
00:00:00 01/10/2000,       4.569
00:00:00 01/11/2000,       6.555
"00:00:00 01/12/2000,"""""
00:00:00 01/01/2001,      10.727
00:00:00 01/02/2001,       4.267
00:00:00 01/03/2001,       7.780
00:00:00 01/04/2001,       6.305
00:00:00 01/05/2001,       3.846
00:00:00 01/06/2001,       5.342
00:00:00 01/07/2001,       3.679
00:00:00 01/08/2001,       3.537
00:00:00 01/09/2001,       3.476
00:00:00 01/10/2001,       7.598
00:00:00 01/11/2001,       7.565
00:00:00 01/12/2001,      10.197
00:00:00 01/01/2002,       5.901
00:00:00 01/02/2002,       7.827
00:00:00 01/03/2002,       6.898
"00:00:00 01/04/2002,"""""
00:00:00 01/05/2002,       3.623
00:00:00 01/06/2002,       3.665
00:00:00 01/07/2002,       4.636
00:00:00 01/08/2002,       3.389
00:00:00 01/09/2002,       3.506
00:00:00 01/10/2002,       3.118
00:00:00 01/11/2002,       4.452
00:00:00 01/12/2002,       3.620
00:00:00 01/01/2003,       6.646
"00:00:00 01/02/2003,"""""
00:00:00 01/03/2003,       6.490
