A2H012,,
,,
,,
Date,Time,Discharge in cumecs
1/8/1946,12:00:00,1.752
1/9/1946,12:00:00,1.576
1/10/1946,12:00:00,1.243
1/11/1946,12:00:00,1.228
1/12/1946,12:00:00,2.135
1/1/1947,12:00:00,3.503
1/2/1947,12:00:00,3.423
1/3/1947,12:00:00,2.48
1/4/1947,12:00:00,4.18
1/5/1947,12:00:00,2.38
1/6/1947,12:00:00,1.411
1/7/1947,12:00:00,1.4
1/8/1947,12:00:00,1.442
1/9/1947,12:00:00,1.266
1/10/1947,12:00:00,1.07
1/11/1947,12:00:00,1.008
1/12/1947,12:00:00,2.21
1/1/1948,12:00:00,2.907
1/2/1948,12:00:00,4.208
1/3/1948,12:00:00,2.733
1/4/1948,12:00:00,4.39
1/5/1948,12:00:00,3.71
1/6/1948,12:00:00,2.735
1/7/1948,12:00:00,1.628
1/8/1948,12:00:00,1.484
1/9/1948,12:00:00,1.317
1/10/1948,12:00:00,1.091
1/11/1948,12:00:00,1.314
1/12/1948,12:00:00,3.003
1/1/1949,12:00:00,1.129
1/2/1949,12:00:00,3.074
1/3/1949,12:00:00,3.377
1/4/1949,12:00:00,2.49
1/5/1949,12:00:00,1.07
1/6/1949,12:00:00,1.069
1/7/1949,12:00:00,1.189
1/8/1949,12:00:00,1.197
1/9/1949,12:00:00,1.058
1/10/1949,12:00:00,0.957
1/11/1949,12:00:00,1.139
1/12/1949,12:00:00,7.786
1/1/1950,12:00:00,10.514
1/2/1950,12:00:00,4.295
1/3/1950,12:00:00,1.8
1/4/1950,12:00:00,6.224
1/5/1950,12:00:00,2.566
1/6/1950,12:00:00,2.535
1/7/1950,12:00:00,1.929
1/8/1950,12:00:00,1.536
1/9/1950,12:00:00,1.331
1/10/1950,12:00:00,1.012
1/11/1950,12:00:00,1.045
1/12/1950,12:00:00,2.537
1/1/1951,12:00:00,3.135
1/2/1951,12:00:00,6.006
1/3/1951,12:00:00,2.081
1/4/1951,12:00:00,1.977
1/5/1951,12:00:00,2.441
1/6/1951,12:00:00,2.865
1/7/1951,12:00:00,1.669
1/8/1951,12:00:00,1.497
1/9/1951,12:00:00,1.314
1/10/1951,12:00:00,1.447
1/11/1951,12:00:00,4.073
1/12/1951,12:00:00,1.483
1/1/1952,12:00:00,2.371
1/2/1952,12:00:00,1.279
1/3/1952,12:00:00,2.003
1/4/1952,12:00:00,1.905
1/5/1952,12:00:00,1.446
1/6/1952,12:00:00,0.986
1/7/1952,12:00:00,1.11
1/8/1952,12:00:00,1.477
1/9/1952,12:00:00,1.102
1/10/1952,12:00:00,0.905
1/11/1952,12:00:00,0.826
1/12/1952,12:00:00,2.618
1/1/1953,12:00:00,4.476
1/2/1953,12:00:00,2.373
1/3/1953,12:00:00,3.648
1/4/1953,12:00:00,2.326
1/5/1953,12:00:00,2.578
1/6/1953,12:00:00,1.261
1/7/1953,12:00:00,1.185
1/8/1953,12:00:00,1.229
1/9/1953,12:00:00,1.131
1/10/1953,12:00:00,0.927
1/11/1953,12:00:00,1.075
1/12/1953,12:00:00,2.582
1/1/1954,12:00:00,3.177
1/2/1954,12:00:00,3.777
1/3/1954,12:00:00,4.715
1/4/1954,12:00:00,2.138
1/5/1954,12:00:00,1.336
1/6/1954,12:00:00,1.31
1/7/1954,12:00:00,1.161
1/8/1954,12:00:00,1.141
1/9/1954,12:00:00,1.099
1/10/1954,12:00:00,1.217
1/11/1954,12:00:00,0.981
1/12/1954,12:00:00,2.773
1/1/1955,12:00:00,2.699
1/2/1955,12:00:00,10.615
1/3/1955,12:00:00,36.961
1/4/1955,12:00:00,8.751
1/5/1955,12:00:00,4.423
1/6/1955,12:00:00,4.815
1/7/1955,12:00:00,3.034
1/8/1955,12:00:00,2.735
1/9/1955,12:00:00,2.309
1/10/1955,12:00:00,1.583
1/11/1955,12:00:00,1.962
1/12/1955,12:00:00,5.287
1/1/1956,12:00:00,4.997
1/2/1956,12:00:00,4.261
1/3/1956,12:00:00,4.722
1/4/1956,12:00:00,5.181
1/5/1956,12:00:00,1.777
1/6/1956,12:00:00,2.927
1/7/1956,12:00:00,2.258
1/8/1956,12:00:00,1.905
1/9/1956,12:00:00,1.604
1/10/1956,12:00:00,1.77
1/11/1956,12:00:00,4.079
1/12/1956,12:00:00,3.429
1/1/1957,12:00:00,5.8
1/2/1957,12:00:00,5.496
1/3/1957,12:00:00,9.293
1/4/1957,12:00:00,5.444
1/5/1957,12:00:00,2.406
1/6/1957,12:00:00,1.732
1/7/1957,12:00:00,2.695
1/8/1957,12:00:00,6.721
1/9/1957,12:00:00,3.524
1/10/1957,12:00:00,7.882
1/11/1957,12:00:00,7.86
1/12/1957,12:00:00,2.982
1/1/1958,12:00:00,2.698
1/2/1958,12:00:00,5.717
1/3/1958,12:00:00,7.598
1/4/1958,12:00:00,6.755
1/5/1958,12:00:00,6.334
1/6/1958,12:00:00,2.908
1/7/1958,12:00:00,2.618
1/8/1958,12:00:00,2.358
1/9/1958,12:00:00,1.963
1/10/1958,12:00:00,3.454
1/11/1958,12:00:00,1.568
1/12/1958,12:00:00,2.885
1/1/1959,12:00:00,7.994
1/2/1959,12:00:00,3.841
1/3/1959,12:00:00,4.898
1/4/1959,12:00:00,2.973
1/5/1959,12:00:00,1.896
1/6/1959,12:00:00,2.377
1/7/1959,12:00:00,1.741
1/8/1959,12:00:00,1.773
1/9/1959,12:00:00,1.484
1/10/1959,12:00:00,1.357
1/11/1959,12:00:00,2.38
1/12/1959,12:00:00,3.323
1/1/1960,12:00:00,4.292
1/2/1960,12:00:00,2.018
1/3/1960,12:00:00,1.676
1/4/1960,12:00:00,2.704
1/5/1960,12:00:00,2.544
1/6/1960,12:00:00,1.946
1/7/1960,12:00:00,1.521
1/8/1960,12:00:00,1.489
1/9/1960,12:00:00,1.44
1/10/1960,12:00:00,1.04
1/11/1960,12:00:00,1.576
1/12/1960,12:00:00,3.404
1/1/1961,12:00:00,4.81
1/2/1961,12:00:00,3.111
1/3/1961,12:00:00,2.321
1/4/1961,12:00:00,
1/5/1961,12:00:00,
1/6/1961,12:00:00,1.995
1/7/1961,12:00:00,2.203
1/8/1961,12:00:00,1.634
1/9/1961,12:00:00,1.599
1/10/1961,12:00:00,1.412
1/11/1961,12:00:00,1.614
1/12/1961,12:00:00,2.323
1/1/1962,12:00:00,2.193
1/2/1962,12:00:00,1.233
1/3/1962,12:00:00,1.797
1/4/1962,12:00:00,1.386
1/5/1962,12:00:00,2.267
1/6/1962,12:00:00,1.231
1/7/1962,12:00:00,1.256
1/8/1962,12:00:00,1.31
1/9/1962,12:00:00,1.233
1/10/1962,12:00:00,1.172
1/11/1962,12:00:00,1.15
1/12/1962,12:00:00,5.895
1/1/1963,12:00:00,1.829
1/2/1963,12:00:00,3.308
1/3/1963,12:00:00,1.333
1/4/1963,12:00:00,1.042
1/5/1963,12:00:00,1.843
1/6/1963,12:00:00,1.282
1/7/1963,12:00:00,1.674
1/8/1963,12:00:00,1.761
1/9/1963,12:00:00,1.207
1/10/1963,12:00:00,1.037
1/11/1963,12:00:00,1.561
1/12/1963,12:00:00,5.295
1/1/1964,12:00:00,6.527
1/2/1964,12:00:00,3.912
1/3/1964,12:00:00,2.75
1/4/1964,12:00:00,1.422
1/5/1964,12:00:00,1.816
1/6/1964,12:00:00,1.161
1/7/1964,12:00:00,1.282
1/8/1964,12:00:00,1.302
1/9/1964,12:00:00,1.213
1/10/1964,12:00:00,1.318
1/11/1964,12:00:00,3.843
1/12/1964,12:00:00,1.817
1/1/1965,12:00:00,3.672
1/2/1965,12:00:00,3.606
1/3/1965,12:00:00,3.554
1/4/1965,12:00:00,0.995
1/5/1965,12:00:00,1.593
1/6/1965,12:00:00,1.108
1/7/1965,12:00:00,1.224
1/8/1965,12:00:00,1.5
1/9/1965,12:00:00,1.242
1/10/1965,12:00:00,0.788
1/11/1965,12:00:00,0.897
1/12/1965,12:00:00,1.105
1/1/1966,12:00:00,1.246
1/2/1966,12:00:00,1.663
1/3/1966,12:00:00,5.202
1/4/1966,12:00:00,0.839
1/5/1966,12:00:00,0.877
1/6/1966,12:00:00,0.931
1/7/1966,12:00:00,1.182
1/8/1966,12:00:00,0.971
1/9/1966,12:00:00,0.919
1/10/1966,12:00:00,0.72
1/11/1966,12:00:00,5.361
1/12/1966,12:00:00,1.928
1/1/1967,12:00:00,5.31
1/2/1967,12:00:00,6.111
1/3/1967,12:00:00,14.944
1/4/1967,12:00:00,17.48
1/5/1967,12:00:00,14.196
1/6/1967,12:00:00,5.604
1/7/1967,12:00:00,4.408
1/8/1967,12:00:00,3.051
1/9/1967,12:00:00,2.725
1/10/1967,12:00:00,1.902
1/11/1967,12:00:00,1.648
1/12/1967,12:00:00,3.411
1/1/1968,12:00:00,3.324
1/2/1968,12:00:00,2.03
1/3/1968,12:00:00,1.916
1/4/1968,12:00:00,3.532
1/5/1968,12:00:00,2.651
1/6/1968,12:00:00,1.755
1/7/1968,12:00:00,1.63
1/8/1968,12:00:00,1.573
1/9/1968,12:00:00,1.425
1/10/1968,12:00:00,1.263
1/11/1968,12:00:00,0.887
1/12/1968,12:00:00,1.986
1/1/1969,12:00:00,1.615
1/2/1969,12:00:00,1.314
1/3/1969,12:00:00,1.174
1/4/1969,12:00:00,3.282
1/5/1969,12:00:00,2.589
1/6/1969,12:00:00,2.438
1/7/1969,12:00:00,1.615
1/8/1969,12:00:00,1.448
1/9/1969,12:00:00,1.354
1/10/1969,12:00:00,1.118
1/11/1969,12:00:00,5.288
1/12/1969,12:00:00,3.392
1/1/1970,12:00:00,6.801
1/2/1970,12:00:00,2.846
1/3/1970,12:00:00,2.337
1/4/1970,12:00:00,1.502
1/5/1970,12:00:00,1.554
1/6/1970,12:00:00,1.561
1/7/1970,12:00:00,1.376
1/8/1970,12:00:00,1.5
1/9/1970,12:00:00,1.185
1/10/1970,12:00:00,0.994
1/11/1970,12:00:00,1.865
1/12/1970,12:00:00,2.667
1/1/1971,12:00:00,3.965
1/2/1971,12:00:00,6.119
1/3/1971,12:00:00,11.173
1/4/1971,12:00:00,4.008
1/5/1971,12:00:00,12.611
1/6/1971,12:00:00,4.541
1/7/1971,12:00:00,2.863
1/8/1971,12:00:00,2.434
1/9/1971,12:00:00,1.857
1/10/1971,12:00:00,2.37
1/11/1971,12:00:00,1.856
1/12/1971,12:00:00,5.829
1/1/1972,12:00:00,5.846
1/2/1972,12:00:00,15.692
1/3/1972,12:00:00,3.678
1/4/1972,12:00:00,5.229
1/5/1972,12:00:00,2.788
1/6/1972,12:00:00,2.305
1/7/1972,12:00:00,2.133
1/8/1972,12:00:00,2.11
1/9/1972,12:00:00,1.778
1/10/1972,12:00:00,1.479
1/11/1972,12:00:00,2.515
1/12/1972,12:00:00,4.018
1/1/1973,12:00:00,3.644
1/2/1973,12:00:00,2.167
1/3/1973,12:00:00,2.487
1/4/1973,12:00:00,4.487
1/5/1973,12:00:00,6.417
