,A2H008,
,,
,,
Date,Time,Discharge in cumecs 
1/1/1946,12:00:00,0.044
1/2/1946,12:00:00,0.055
1/3/1946,12:00:00,0.064
1/4/1946,12:00:00,0.053
1/5/1946,12:00:00,0.042
1/6/1946,12:00:00,0.042
1/7/1946,12:00:00,0.041
1/8/1946,12:00:00,0.045
1/9/1946,12:00:00,0.046
1/10/1946,12:00:00,0.045
1/11/1946,12:00:00,0.043
1/12/1946,12:00:00,0.04
1/1/1947,12:00:00,0.04
1/2/1947,12:00:00,0.042
1/3/1947,12:00:00,0.041
1/4/1947,12:00:00,0.04
1/5/1947,12:00:00,0.04
1/6/1947,12:00:00,0.039
1/7/1947,12:00:00,0.04
1/8/1947,12:00:00,0.041
1/9/1947,12:00:00,0.041
1/10/1947,12:00:00,0.04
1/11/1947,12:00:00,0.039
1/12/1947,12:00:00,0.038
1/1/1948,12:00:00,0.038
1/2/1948,12:00:00,0.04
1/3/1948,12:00:00,0.039
1/4/1948,12:00:00,0.038
1/5/1948,12:00:00,0.038
1/6/1948,12:00:00,0.039
1/7/1948,12:00:00,0.041
1/8/1948,12:00:00,0.042
1/9/1948,12:00:00,0.039
1/10/1948,12:00:00,0.038
1/11/1948,12:00:00,0.039
1/12/1948,12:00:00,0.037
1/1/1949,12:00:00,0.035
1/2/1949,12:00:00,0.035
1/3/1949,12:00:00,0.038
1/4/1949,12:00:00,0.037
1/5/1949,12:00:00,0.035
1/6/1949,12:00:00,0.034
1/7/1949,12:00:00,0.034
1/8/1949,12:00:00,0.035
1/9/1949,12:00:00,0.036
1/10/1949,12:00:00,0.035
1/11/1949,12:00:00,0.034
1/12/1949,12:00:00,0.034
1/1/1950,12:00:00,0.036
1/2/1950,12:00:00,0.034
1/3/1950,12:00:00,0.033
1/4/1950,12:00:00,0.031
1/5/1950,12:00:00,0.027
1/6/1950,12:00:00,0.021
1/7/1950,12:00:00,0.02
1/8/1950,12:00:00,0.015
1/9/1950,12:00:00,0.015
1/10/1950,12:00:00,0.018
1/11/1950,12:00:00,0.02
1/12/1950,12:00:00,0.03
1/1/1951,12:00:00,0.04
1/2/1951,12:00:00,0.038
1/3/1951,12:00:00,0.038
1/4/1951,12:00:00,0.038
1/5/1951,12:00:00,0.038
1/6/1951,12:00:00,0.038
1/7/1951,12:00:00,0.038
1/8/1951,12:00:00,0.038
1/9/1951,12:00:00,0.038
1/10/1951,12:00:00,0.038
1/11/1951,12:00:00,0.038
