,A2H014,
,,
,,
Time,Date,Discharge in cumecs
1/5/1943,12:00:00,0.39
1/6/1943,12:00:00,0.959
1/7/1943,12:00:00,0.404
1/8/1943,12:00:00,1.261
1/9/1943,12:00:00,0.299
1/10/1943,12:00:00,0.781
1/11/1943,12:00:00,0.229
1/12/1943,12:00:00,0.871
1/1/1944,12:00:00,1.421
1/2/1944,12:00:00,1.551
1/3/1944,12:00:00,5.383
1/4/1944,12:00:00,2.06
1/5/1944,12:00:00,0.69
1/6/1944,12:00:00,0.526
1/7/1944,12:00:00,1.177
1/8/1944,12:00:00,0.633
1/9/1944,12:00:00,0.478
1/10/1944,12:00:00,0.626
1/11/1944,12:00:00,0.825
1/12/1944,12:00:00,1.816
1/1/1945,12:00:00,0.518
1/2/1945,12:00:00,0.251
1/3/1945,12:00:00,1.69
1/4/1945,12:00:00,2.048
1/5/1945,12:00:00,0.686
1/6/1945,12:00:00,0.674
1/7/1945,12:00:00,0.702
1/8/1945,12:00:00,0.801
1/9/1945,12:00:00,0.515
1/10/1945,12:00:00,0.281
1/11/1945,12:00:00,0.232
1/12/1945,12:00:00,0.41
1/1/1946,12:00:00,0.208
1/2/1946,12:00:00,0.575
1/3/1946,12:00:00,2.926
1/4/1946,12:00:00,1.619
1/5/1946,12:00:00,0.818
1/6/1946,12:00:00,0.313
1/7/1946,12:00:00,0.309
1/8/1946,12:00:00,0.296
1/9/1946,12:00:00,0.257
1/10/1946,12:00:00,0.221
1/11/1946,12:00:00,0.183
1/12/1946,12:00:00,0.17
1/1/1947,12:00:00,0.699
1/2/1947,12:00:00,0.784
1/3/1947,12:00:00,0.51
1/4/1947,12:00:00,0.544
1/5/1947,12:00:00,0.512
1/6/1947,12:00:00,0.231
1/7/1947,12:00:00,0.21
1/8/1947,12:00:00,0.223
1/9/1947,12:00:00,0.178
1/10/1947,12:00:00,0.147
1/11/1947,12:00:00,0.124
1/12/1947,12:00:00,0.183
1/1/1948,12:00:00,0.29
1/2/1948,12:00:00,0.565
1/3/1948,12:00:00,0.323
1/4/1948,12:00:00,0.56
1/5/1948,12:00:00,0.35
1/6/1948,12:00:00,0.177
1/7/1948,12:00:00,0.15
1/8/1948,12:00:00,0.136
1/9/1948,12:00:00,0.13
1/10/1948,12:00:00,0.115
1/11/1948,12:00:00,0.452
1/12/1948,12:00:00,0.615
1/1/1949,12:00:00,0.131
1/2/1949,12:00:00,0.51
1/3/1949,12:00:00,0.51
1/4/1949,12:00:00,0.297
1/5/1949,12:00:00,0.136
1/6/1949,12:00:00,0.115
1/7/1949,12:00:00,0.117
1/8/1949,12:00:00,0.12
1/9/1949,12:00:00,0.11
1/10/1949,12:00:00,0.078
1/11/1949,12:00:00,0.357
1/12/1949,12:00:00,1.175
1/1/1950,12:00:00,0.928
1/2/1950,12:00:00,0.367
1/3/1950,12:00:00,0.685
1/4/1950,12:00:00,0.942
1/5/1950,12:00:00,0.31
1/6/1950,12:00:00,0.28
1/7/1950,12:00:00,0.21
1/8/1950,12:00:00,0.183
1/9/1950,12:00:00,0.146
1/10/1950,12:00:00,0.117
1/11/1950,12:00:00,0.079
1/12/1950,12:00:00,0.053
1/1/1951,12:00:00,0.464
1/2/1951,12:00:00,0.797
1/3/1951,12:00:00,0.152
1/4/1951,12:00:00,0.158
1/5/1951,12:00:00,0.212
1/6/1951,12:00:00,0.314
1/7/1951,12:00:00,0.147
1/8/1951,12:00:00,0.129
1/9/1951,12:00:00,0.128
1/10/1951,12:00:00,0.135
1/11/1951,12:00:00,0.584
1/12/1951,12:00:00,0.479
1/1/1952,12:00:00,0.205
1/2/1952,12:00:00,0.143
1/3/1952,12:00:00,0.221
1/4/1952,12:00:00,0.206
1/5/1952,12:00:00,0.095
1/6/1952,12:00:00,0.067
1/7/1952,12:00:00,0.08
1/8/1952,12:00:00,0.089
1/9/1952,12:00:00,0.099
1/10/1952,12:00:00,0.074
1/11/1952,12:00:00,0.063
1/12/1952,12:00:00,0.212
1/1/1953,12:00:00,0.254
1/2/1953,12:00:00,0.136
1/3/1953,12:00:00,0.323
1/4/1953,12:00:00,0.461
1/5/1953,12:00:00,0.505
1/6/1953,12:00:00,0.16
1/7/1953,12:00:00,0.102
1/8/1953,12:00:00,0.086
1/9/1953,12:00:00,0.072
1/10/1953,12:00:00,0.069
1/11/1953,12:00:00,0.055
1/12/1953,12:00:00,1.959
1/1/1954,12:00:00,0.575
1/2/1954,12:00:00,1.737
1/3/1954,12:00:00,0.859
1/4/1954,12:00:00,0.204
1/5/1954,12:00:00,0.101
1/6/1954,12:00:00,0.098
1/7/1954,12:00:00,0.104
1/8/1954,12:00:00,0.087
1/9/1954,12:00:00,0.077
1/10/1954,12:00:00,0.073
1/11/1954,12:00:00,0.114
1/12/1954,12:00:00,0.31
1/1/1955,12:00:00,0.075
1/2/1955,12:00:00,1.759
1/3/1955,12:00:00,4.983
1/4/1955,12:00:00,0.803
1/5/1955,12:00:00,0.375
1/6/1955,12:00:00,0.765
1/7/1955,12:00:00,0.297
1/8/1955,12:00:00,0.286
1/9/1955,12:00:00,0.237
1/10/1955,12:00:00,0.168
1/11/1955,12:00:00,0.192
