Station No,Place,Catchment Area(km²),Latitude,Longitude,Data Available
A2H117,Canal from Dam D/S of Return Flow Pt. @ Hartbeesfont,,-25.72294,27.84789,1989-06-12 to 2019-07-17
A2H118,Hex River @ Boschpoort,,-25.56166,27.35108,1936-10-01 to 1952-08-01
A2H119,Sterkstroom River @ Buffelspoort,140,-25.75055,27.48608,1928-01-12 to 1932-12-26
A2H128,Faure Crocodile River,28780,-24.39619,27.08983,2002-07-29 to 2019-07-16
A2H132,Krokodil River @ Haakdoringdrift,22270,-24.69508,27.409,1987-10-14 to 2019-07-16
A3H001,Klein-Marico River @ Little-Maricopoort,1165,-25.53805,26.10355,1906-09-01 to 1939-09-30
A3H007,Groot-Marico River @ Eerstepoort,8685,-24.86872,26.45408,1957-11-05 to 1984-11-05
A3H008,Groot-Marico River @ Renosterfontein,1213,-25.48116,26.39297,1925-01-23 to 1933-08-31
A3H016,Wilgeboom Spruit @ Wilgerboomspruit,39,-25.59775,26.30655,1965-12-01 to 1992-09-23
A3H021,Malmanieloop Upper-Eye @ Paardenvalle,,-25.63317,25.99131,1975-03-25 to 2018-05-30
A3H027,Klein Marico River @ Little Maricopoort,1165,-25.53805,26.10355,1906-11-10 to 1939-02-17
A4H001,Mokolo River @ Weltevrede,1606,-24.40649,28.10914,1938-07-08 to 1948-06-30
A4H002,Mokolo River @ Zandrivier,1777,-24.28629,28.09553,1948-03-24 to 2019-08-22
A4H003,Sterkstroom @ Doornspruit,519,-24.19123,27.94719,1954-11-01 to 1964-04-05
A4H004,Matlabas River @ Haarlem East,1046,-24.16053,27.47969,1962-08-27 to 2019-08-22
A4H005,Mokolo River @ Dwaalhoek,3786,-24.08066,27.77267,1962-08-27 to 2019-06-13
A4H006,Poerseloop @ Weltevreden,477,-23.85958,27.79108,1962-09-25 to 1967-01-14
A4H007,Tambotie River @ Blakeney,398,-23.76388,27.90899,1962-09-25 to 2019-08-22
A4H008,Sterkstroom @ Doornspruit,504,-24.21681,27.9732,1964-08-21 to 2019-02-21
A4H009,Witbank Spruit @ Hans Strijdom Natres,10,-23.96902,27.71635,1980-10-16 to 2001-05-02
A4H014,Mogol River,8364,-23.23569,27.71696,2004-02-23 to 2015-02-25
A5H001,Palala River @ Melk River,601,-23.99402,28.41221,1937-07-20 to 1967-06-27
A5H002,Palala River @ Over Yssel,2303,-23.63404,28.15637,1957-06-20 to 1966-11-06
A5H003,Limpopo River @ Botswana,98160,-22.95076,27.97358,1959-09-11 to 2002-04-16
A5H004,Palala River @ Muisvogelkraal,629,-23.98181,28.39993,1955-12-01 to 2019-07-11
A5H005,Palala River @ Hopetown,2331,-23.62099,28.14692,1967-01-02 to 1984-03-06
A5H006,Limpopo River @ Botswana,98240,-22.93476,28.00392,1971-03-12 to 2019-05-23
A6H001,Nyl River @ Moorddrift,2366,-24.27622,28.97517,1919-12-05 to 2019-07-12
A6H002,Nyl River @ Deelkraal,738,-24.68286,28.6291,1922-05-01 to 2019-04-01
A6H003,Sterk River @ Bellevue,1373,-23.9418,28.72999,1937-07-21 to 1946-07-31
A6H004,Sterk River @ Paardedrift,513,-24.32261,28.6986,1938-04-22 to 1951-08-31
A6H005,Sterk River @ Eckstein,1352,-23.97013,28.69666,1946-07-11 to 1952-12-31
A6H006,Little Nyl River @ Nylstroom,168,-24.69872,28.40692,1949-08-01 to 2019-07-10
A6H007,Mogalakwena River @ Steilloop,9487,-23.43711,28.62444,1977-10-01 to 1980-06-30
A6H008,Sterk River @ Doorndraai,579,-24.27983,28.77888,1951-02-12 to 1953-02-28
A6H009,Mogalakwena River @ Leniesrus,14733,-22.59801,28.88611,1960-06-13 to 1997-02-02
A6H010,Badseloop River @ Vischgat,70,-24.57398,28.63953,1964-08-28 to 2019-04-01
