#STATION,STNAME,SHORTNAME,LATITUDE,LONGITUDE,ACTIVE,COMMENCE,CEASE,STNTYPE
C2N0891,Knoppiesfontein,OOS RAND,-26.08591,28.44412,F,1987/08/17,2011/12/21,GW
C2N0892,Knoppiesfontein,OOS RAND,-26.08805556,28.44888889,F,1987/08/18,2010/06/02,GW
C2N0893,Knoppiesfontein,OOS RAND,-26.1015,28.44929,T,1987/09/15,,GW
C2N0894,Modderfontein Ged. Holfontein,OOS RAND,-26.17371,28.52103,F,1984/12/10,2011/09/08,GW
C2N0896,Jachtfontein,WESRAND,-26.37888889,27.73361111,F,1988/12/08,1995/03/01,GW
C2N0897,Jachtfontein,Wesrand,-26.38121,27.73403,T,1988/12/08,,GW
C2N0898,Jachtfontein,WESRAND,-26.39222222,27.72861111,F,1988/12/08,2010/06/02,GW
C2N0899,Jachtfontein,Wesrand,-26.39157,27.73402,T,1988/12/08,,GW
C2N0900,Jachtfontein,Wesrand,-26.39193,27.73993,F,1988/12/08,2018/02/20,GW
C2N0901,Modderfontein,WESRAND,-26.44147,27.69542,F,1988/12/08,2010/09/15,GW
C2N0902,Modderfontein,WESRAND,-26.43643,27.69413,F,1988/12/08,2009/02/25,GW
C2N0903,Modderfontein,WESRAND,-26.44108,27.69545,F,1988/12/08,,GW
C2N0904,Modderfontein,WESRAND,-26.44096,27.69254,T,1988/12/08,,GW
C2N0905,Modderfontein,WESRAND,-26.44416667,27.6925,T,1989/06/05,,GW
C2N0906,Modderfontein,WESRAND,-26.45111111,27.6875,F,1988/12/08,2002/04/11,GW
C2N0907,Modderfontein,WESRAND,-26.43722222,27.68777778,F,1987/04/08,2010/06/02,GW
C2N0908,Modderfontein,WESRAND,-26.42333333,27.69638889,F,1988/12/08,1989/11/02,GW
C2N0909,Modderfontein,WESRAND,-26.41166667,27.69722222,F,1988/12/08,1993/04/21,GW
C2N0910,Modderfontein,WESRAND,-26.41166667,27.70527778,F,1989/01/12,1993/08/06,GW
C2N0911,Modderfontein,WESRAND,-26.40138889,27.70694444,F,1988/12/08,2010/06/02,GW
C2N0912,Modderfontein,WESRAND,-26.40777778,27.71333333,F,1990/01/15,2011/03/10,GW
C2N0913,Modderfontein,WESRAND,-26.42,27.70444444,F,1988/12/05,1999/01/14,GW
C2N0914,Modderfontein,WESRAND,-26.42166667,27.7125,F,1989/01/12,2002/09/04,GW
C2N0915,Jachtfontein,Wesrand,-26.41657,27.72205,T,1989/01/12,,GW
C2N0916,Jachtfontein,WESRAND,-26.41305556,27.72166667,F,1988/12/08,2002/07/24,GW
C2N0917,Jachtfontein,Wesrand,-26.42027,27.73005,T,1988/06/15,,GW
C2N0918,Jachtfontein,WESRAND,-26.42805556,27.73722222,F,1989/01/12,2010/06/02,GW
C2N0919,Jachtfontein,WESRAND,-26.42833333,27.72416667,F,1989/01/12,1999/08/24,GW
C2N0920,Modderfontein,WESRAND,-26.42638889,27.67972222,F,1988/12/08,2010/06/02,GW
C2N0921,Doornpoort,WESRAND,-26.43694444,27.66305556,F,1988/12/08,1992/11/24,GW
C2N0922,Doornpoort,WESRAND,-26.42194444,27.63166667,F,1988/12/05,1992/05/26,GW
C2N0923,Elandsfontein,WESRAND,-26.39806,27.64339,T,1989/01/12,,GW
C2N0924,Waterpan,WESRAND,-26.33361111,27.75277778,F,1989/07/20,1990/05/14,GW
C2N0926,Klipriviersoog - Wesrand,WESRAND,-26.30055556,27.81305556,F,1988/10/03,1998/04/22,GW
C2N0931,Zuurbekom (Naschem),WESRAND,-26.32861111,27.8175,F,1973/11/06,1988/09/21,GW
C2N0932,Zuurbekom (Naschem),WESRAND,-26.32694444,27.81694444,F,1984/05/24,1991/02/27,GW
C2N0997,Roodepoort,WESRAND,-26.34916667,27.82138889,F,1988/07/27,1991/08/30,GW
C2N0998,Syferfontein,WESRAND,-26.33402,27.77855,F,1989/07/12,2013/08/22,GW
C2N0999,Zuurbekom - Wesrand,WESRAND,-26.28305556,27.81666667,F,1988/01/04,1991/08/29,GW
C2N1000,Hartebeestfontein,VENTERSDORP,-26.85805556,26.75611111,F,1967/06/30,1993/11/30,GW
C2N1001,Randfontein Ged. Middelvlei,WESRAND,-26.20416667,27.68222222,F,1993/05/27,1998/01/27,GW
C2N1002,Middelvlei,WESRAND,-26.25562,27.64813,F,1993/05/27,2014/11/19,GW
C2N1003,Middelvlei,WESRAND,-26.20416667,27.68222222,F,1993/05/27,2002/04/12,GW
C2N1004,Elandsfontein,Wesrand,-26.38671,27.76657,T,1994/01/01,,GW
C2N1005,Jactfontein,Wesrand,-26.39219,27.74174,T,1989/12/03,,GW
C2N1006,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1993/11/30,GW
C2N1007,Hartebeestfontein,VENTERSDORP,-26.86944444,26.81666667,F,1967/07/31,1970/05/31,GW
