Latitude,Longitude
-25.7797,27.741
-26.14111,27.6825
-25.755,27.7843
-26.1604,27.6866
-26.1604,27.6866
-25.8277,28.163
-25.9118,28.4149
-25.9111,28.4158
-25.85889,27.67722
-25.5528,26.0007
-26.0835,27.672
-26.0835,27.672
-26.0835,27.672
-26.0835,27.672
-26.0835,27.672
-26.0835,27.672
-26.0835,27.672
-25.5402,26.009
-26.0191,27.4687
-25.0191,27.4687
-26.0333,27.4976
-25.6374,26.0603
-25.800556,27.907222
-25.9818,27.8573
-25.88631,28.0744
-25.88631,28.183199
-25.88631,28.1213
-25.88631,28.2216
-25.82,28.183199
-25.88631,28.25
-25.8796,28.2107
-25.8796,28.2107
-25.8882,28.2126
-25.8796,28.2107
-25.8882,28.2126
-26.1586,27.5301
-25.882,28.261
-25.8604,28.1145
-25.8637,28.0698
-25.8361,28.1822
-25.9623,28.391
-25.9595,27.8869
-25.7556,27.9179
-25.976,27.6784
-25.9639,28.4264
-25.6939,28.4264
-25.9001,27.427
-25.8978,27.4277
-25.9132,28.1567
-25.9488,27.8925
-26.0758,27.625
-25.7511,28.1046
-25.7511,28.206853
-25.7511,28.1046
-25.7511,28.1046
-25.7511,28.1046
-25.75,28.05
-26.0602,27.3615
-25.8301,27.4901
-25.795,27.7276
-25.7922,27.7193
-25.794444,27.722222
-25.7878,27.7092
-25.7987,27.7254
-25.794444,27.722222
-25.8365,27.7153
-25.9834,28.3048
-26.094444,28.319444
-26.1019,27.5037
-25.1092,27.5201
-25.8796,28.2107
-25.8882,28.2126
-25.8796,28.2107
-25.8882,28.2126
-25.8796,28.2107
-25.8882,28.2126
-25.8664,27.6284
-25.487,27.4218
-26.0245,27.4602
-26.0366,27.469
-25.8479,27.7209
-25.794444,27.722222
-25.993611,27.475
-25.993333,27.476667
-25.985278,27.483333
-25.986667,27.48
-26.1434,27.6505
-25.921,27.4976
-25.921,27.4976
-25.854,27.6388
-26.0385,27.7192
-25.0553,27.7028
-25.48248,26.2723
-25.51373,26.28383
-25.4825,26.27249
-25.0789,27.6291
-25.7696,27.5521
-25.981,28.4139
-25.981,28.4139
-25.9841,28.4153
-25.9864,28.4159
-25.9769,28.4067
-25.977,28.406
-25.977,28.406
-26.0457,27.7617
-25.9599,27.9039
-25.9513,27.9028
-25.9529,27.9023
-25.9557,27.9051
-26.037,27.8662
-25.7102,28.0412
-25.7119,28.042
-25.8251,28.1137
-25.8723,28.0259
-25.820833,27.636389
-25.7727,26.1424
-25.948611,28.229444
-25.84999,27.63109
-25.9067,27.5739
-25.9067,27.5739
-26.0738,27.5964
-26.0723,27.6669
-25.742,27.9709
-26.0725,27.4351
-26.0684,27.4353
-26.0912,27.8602
-25.8309,26.30746
-25.9694,28.4303
-25.9518,27.4129
-25.9716,28.3875
-26.0302,27.7202
-26.1502,27.6016
-26.1502,27.6016
-25.8664,27.6274
-26.0541,27.5793
-26.063111,27.697306
-25.7338,27.9171
-25.9037,28.1734
-26.1019,27.6555
-26.0333,27.6446
-25.8523,27.6343
-26.052389,27.579194
-26.0556,27.5841
-25.7887,26.368
-26.0479,27.5965
-26.154,27.7117
-26.06902,27.59605
-25.9398,27.4729
-25.9709,28.3107
-25.9709,28.3107
-26.1008,27.6428
-26.0817,28.3201
-26.0714,27.6765
-26.0236,28.4242
-25.920417,28.312833
-25.8977,28.2077
-26.0469,27.796
-26.074111,27.6515
-25.933611,28.200306
-25.8395,27.6237
-25.542383,25.965883
-26.071111,27.64
-25.707,26.045889
-25.9438,27.4027
-25.9457,27.39
-26.0125,27.5566
-26.0125,27.5566
-26.0714,27.6765
-26.1424,27.6582
-26.1172,27.5877
-25.54006,25.99476
-25.9367,27.6806
-26.1249,27.561
-25.993,27.6391
-25.7925,26.4516
-26.1256,27.5854
-26.1256,27.5854
-25.6955,26.2839
-25.802,27.9745
-26.0441,27.6432
-25.6783,26.086
-25.992,27.4033
-25.9656,28.3346
-25.9662,28.3295
-26.0386,27.6171
-26.0386,27.6171
-25.819,27.7375
-25.9519,27.518
-25.9519,27.518
-25.9519,27.518
-25.9519,27.518
-25.9515,27.518
-25.8246,27.6913
-25.7638,28.1326
-25.7638,28.1326
-25.9793,28.3919
-25.9758,28.3927
-25.9723,28.3939
-25.825417,27.651056
-25.7947,27.6836
-25.88536,28.05049
-25.87185,28.04267
-25.88467,28.04201
-25.86655,28.05419
-25.87068,28.04373
-25.87527,28.0466
