Latitude,Longitude
-26.4075,28.0338
-26.642417,28.146083
-26.2911,28.2408
-26.2884,28.2463
-26.2889,28.2116
-26.2939,28.2276
-26.52778,28.133333
-26.3338,28.235
-26.5209,28.091
-26.5212,28.0937
-26.5217,28.0962
-26.5258,28.0956
-26.5209,28.091
-26.5209,28.091
-26.38359,28.37985
-26.533333,28.1
-26.43,28.1382
-26.221167,28.119806
-26.354167,28
-26.50159,28.12898
-26.516667,27.933333
-26.622,27.9498
-26.341667,28.0125
-26.341667,28.008333
-26.341667,28.008333
-26.5133,28.0004
-26.5113,27.9988
-26.5094,27.9972
-26.5076,27.9956
-26.5123,27.9996
-26.5094,27.9972
-26.5133,28.0004
-26.605556,27.933333
-26.5967,27.9408
-26.2882,28.229
-26.616667,28.254167
-26.259237,28.413833
-26.375,28.241667
-26.379306,27.953
-26.581111,28.377222
-26.581111,28.377222
-26.5855,28.369
-26.5855,28.369
-26.5855,28.369
-26.622111,27.861472
-26.41666,28.35833
-26.35,28.008333
-26.35,28
-26.283333,28.219722
-26.5283,28.0039
-26.641667,28.058333
-26.468908,28.067706
-26.56406,28.191593
-26.317252,28.316634
-26.652119,27.854194
-26.493556,28.396528
-26.26271,28.19187
-26.49578,28.11538
-26.164587,28.300244
-26.400419,27.740203
-26.395917,28.015778
-26.393,28.023
-26.291917,28.009222
-26.258333,27.675
-26.425707,27.95522
-26.19235,28.424782
-26.3375,28.008333
-26.405556,27.773611
-26.683333,27.916667
-26.366667,27.75
-26.411111,27.775
-26.375,27.74167
-26.4488,27.78781
-26.4555,28.1129
